question_id,role,ticker,year,report_id,table,table_ordinal,row,column,row_label,column_header,raw,parsed_value,source_section,seed_column_header,source_scale,sign_convention,value_base,raw_occurrences_in_logical_grid,title_context
59,value,VCB,2017,VCB_financial_statements_2017_consolidated,VCB_financial_statements_2017_consolidated|187,11,15,3,Chứng khoán đầu tư sẵn sàng để bán,31/12/2017 Triệu VND | 10.102.861,34.688.298,34688298.0,,31/12/2017 Triệu VND,1000000.0,as_printed,34688298000000.0,1,"['Mẫu B02/TCTD-HN', '(Ban hành theo Thông tư số 49/2014/TT-NHNN', 'ngày 31 tháng 12 năm 2014)']"
61,value,DXS,2023,DXS_financial_statements_2023_consolidated,DXS_financial_statements_2023_consolidated|389,8,1,3,1. Doanh thu bán hàng và cung cấp dịch vụ,Năm nay | 1.997.404.377.548 | -,1.997.404.377.548,1997404377548.0,Mã số | CHỈ TIÊU | Thuyết minh | Năm nay | Năm trước,Năm nay,1.0,as_printed,1997404377548.0,2,"['BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT', 'cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023', 'VND']"
66,interest_expense,NKG,2021,NKG_financial_statements_2021_consolidated,NKG_financial_statements_2021_consolidated|194,6,9,3,- Trong đó: Chi phí lãi vay,Năm tài chính kết thúc ngày 31 tháng 12 năm | 2021 VND | 28.206.149.855.751,(243.685.237.356),-243685237356.0,,Năm tài chính kết thúc ngày 31 tháng 12 năm | 2021 VND,1.0,as_printed,-243685237356.0,1,"['CÔNG TY CỔ PHẦN THÉP NAM KIM', 'Mẫu số B 02 – DN/HN', 'BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH HỢP NHẤT']"
71,revenue,GEG,2025,GEG_financial_statements_2025_consolidated,GEG_financial_statements_2025_consolidated|454,10,1,3,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay | 2.998.867.342.581 | (1.284.499.646.212),2.998.867.342.581,2998867342581.0,Mã số | CHỈ TIÊU | Thuyết minh | Năm nay | Năm trước,Năm nay,1.0,as_printed,2998867342581.0,1,"['BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT', 'cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025', 'VND']"
96,value,VGT,2025,VGT_financial_statements_2025_consolidated,VGT_financial_statements_2025_consolidated|1421,44,4,1,Chi phí trả trước ngắn hạn khác,31/12/2025VND | 17.080.461.142 | 3.675.093.777,8.128.414.057,8128414057.0,31/12/2025VND | 1/1/2025VND,31/12/2025VND,1.0,as_printed,8128414057.0,1,"['ngày 22/12/2014 của Bộ Tài chính)', '17. Chi phí trả trước', '(a) Chi phí trả trước ngắn hạn']"
117,value,FPT,2024,FPT_financial_statements_2024_consolidated,FPT_financial_statements_2024_consolidated|3961,61,2,1,Giá vốn của dịch vụ đã cung cấp,2024VND | 4.416.467.377.102 | 34.732.056.916.304,34.732.056.916.304,34732056916304.0,2024VND | 2023VND,2024VND,1.0,as_printed,34732056916304.0,1,"['26 DOANH THU THUẦN VỀ BÁN HÀNG VÀ CUNG CẤP DỊCH VỤ', '2024VND 2023VND Doanh thu Doanh thu bán hàng hóa 5.162.729.425.317 4.569.056.794.009 Doanh thu cung cấp dịch vụ 57.799.922.709.318 48.056.118.067.324 62.962.652.134.635 52.625.174.861.333 Các khoản giảm trừ Doanh thu bán hàng hóa (12.000.960.744) (731.092.700) Doanh thu cung cấp dịch vụ (101.856.822.524) (6.542.941.248) (113.857.783.268) (7.274.033.948) Doanh thu thuần về bán hàng và cung cấp dịch vụ Doanh thu bán hàng hóa 5.150.728.464.573 4.568.325.701.309 Doanh thu cung cấp dịch vụ 57.698.065.886.794 48.049.575.126.076 62.848.794.351.367 52.617.900.827.385', '27 GIÁ VỐN HÀNG BÁN VÀ DỊCH VỤ CUNG CẤP']"
132,interest_expense,SNZ,2021,SNZ_financial_statements_2021_separate,SNZ_financial_statements_2021_separate|300,7,7,3,"Trong đó, chi phí lãi vay",Năm 2021 | 198.107.340.905,359.671.233,359671233.0,,Năm 2021,1.0,as_printed,359671233.0,1,"['BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH', 'Cho năm tài chính kết thúc ngày 31/12/2021', 'Đơn vị tính: VND']"
139,revenue,HAG,2020,HAG_financial_statements_2020_consolidated,HAG_financial_statements_2020_consolidated|411,13,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay | 3.189.964.886 | (13.318.930),3.176.645.956,3176645956.0,Mã số | CHỈ TIÊU | Thuyết minh | Năm nay | Năm trước (Trình bày lại - Thuyết minh số 38),Năm nay,1000.0,as_printed,3176645956000.0,1,"['BÁO CÁO KẾT QUẢ HOẠT ĐÔNG KINH DOANH HỢP NHẤT', 'cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020', 'Ngàn VND']"
145,value,VJC,2018,VJC_financial_statements_2018_separate,VJC_financial_statements_2018_separate|186,7,1,3,Doanh thu bán hàng và cung cấp dịch vụ,2018 VND | 33.866.663.626.058 | 29.081.230.936.008,33.866.663.626.058,33866663626058.0,Mã số | Thuyết minh | 2018 VND | 2017 VND,2018 VND,1.0,as_printed,33866663626058.0,1,"['Mẫu B 02 - DN', '(Ban hành theo Thông tư số 200/2014/TT-BTC', 'ngày 22/12/2014 của Bộ Tài chính)']"
150,value,DXG,2019,DXG_financial_statements_2019_consolidated,DXG_financial_statements_2019_consolidated|966,22,2,2,"Dự phòng các khoản đặt cọc, ký quỹ",VND Số đầu năm | 13.554.211.172 | 9.124.886.323,9.124.886.323,9124886323.0,Số cuối năm | VND Số đầu năm,VND Số đầu năm,1.0,as_printed,9124886323.0,1,"['Số cuối năm VND Số đầu năm Dài hạn Vốn góp HĐHTKD với bên liên quan (ii) 167.727.506.018 141.540.118.870 Ký quỹ, ký cược 2.720.063.000 3.374.570.550 Khác 1.615.951.937 421.227.463 172.063.520.955 145.335.916.883 TỔNG CỘNG 5.732.176.167.758 3.703.144.857.661 Dự phòng phải thu khác (Thuyết minh số 11) (8.754.886.323) (9.124.886.323) GIÁ TRỊ THUÀN 5.723.421.281.435 3.694.019.971.338 Trong đó: Phải thu bên khác 5.048.924.440.875 3.530.629.083.297 Phải thu bên liên quan (Thuyết minh số 34) 683.251.726.883 172.515.774.364', '(ii) Khoản này thể hiện phần vốn góp tương ứng tỷ lệ 40% theo HĐHTKD với Công ty Cổ phần Đầu tư LDG (“LDG”) nhằm phát triển dự án Khu dân cư Tân Thịnh tại Xã Đổi 61, huyện Trắng Bom, tỉnh Đồng Nai, Việt Nam. Theo đó, Tập đoàn sẽ được chia lợi nhuận trước thuế của dự án theo tỷ lệ trên.', '11. DỰ PHÒNG PHÀI THU NGÁN HẠN KHÓ ĐỜI']"
153,value,BAF,2024,BAF_financial_statements_2024_consolidated,BAF_financial_statements_2024_consolidated|1216,47,1,1,Lãi tiền gửi và cho vay,Năm nay | 13.503.042.717 | 5.707.288.604,13.503.042.717,13503042717.0,Năm nay | VNDNăm trước,Năm nay,1.0,as_printed,13503042717.0,1,"['26.1 Doanh thu bán hàng và cung cấp dịch vụ', 'Năm nay VNDNăm trước Doanh thu gộp 5.641.031.044.668 5.204.230.720.499 Trong đó: Doanh thu hoạt động chăn nuôi 3.328.279.587.321 1.209.866.958.051 Doanh thu bán nông sản 2.301.658.870.470 3.934.989.047.800 Doanh thu bán cấm 10.852.533.200 35.195.735.944 Doanh thu bán bất động sản đầu tư - 23.856.502.596 Doanh thu cho thuê - 90.000.001 Doanh thu khác 240.053.677 232.476.107 Các khoản giảm trừ doanh thu (345.310.400) (5.445.425.109) Chiết khấu thương mại (345.310.400) (5.346.019.109) Giảm giá hàng bán - (54.900.000) Hàng bán bị trả lại - (44.506.000) Doanh thu thuần 5.640.685.734.268 5.198.785.295.390 Trong đó: Doanh thu đối với bên khác 5.452.013.727.883 5.015.212.134.402 Doanh thu đối với các bên liên quan(Thuyết minh số 34) 188.672.006.385 183.573.160.988', '26.2 Doanh thu hoạt động tài chính']"
155,pretax_profit,QNS,2023,QNS_financial_statements_2023_separate,QNS_financial_statements_2023_separate|553,9,2,2,1. Lợi nhuận trước thuế,Năm 2023 VND | I. Lưu chuyển tiền từ hoạt động kinh doanh | 2.612.821.126.851,2.612.821.126.851,2612821126851.0,CHỈ TIÊU | Mã số | Năm 2023 VND | Năm 2022 VND > I. Lưu chuyển tiền từ hoạt động kinh doanh,Năm 2023 VND | I. Lưu chuyển tiền từ hoạt động kinh doanh,1.0,as_printed,2612821126851.0,1,"['Mãu só B 03 - DN', 'Ban hành theo Thông tư số 200/2014/TT - BTC', 'ngày 22/12/2014 của Bộ Tài chính']"
157,value,VGT,2021,VGT_financial_statements_2021_consolidated,VGT_financial_statements_2021_consolidated|283,4,12,3,Nguồn vốn đầu tư xây dựng cơ bản,31/12/2021 VND | 9.233.000.912.408 | 9.208.744.768.466,543.092.845.095,543092845095.0,,1/1/2021 VND,1.0,as_printed,543092845095.0,2,"['Mẫu B 01 - DN/HN', '(Ban hành theo Thông tư số 202/2014/TT-BTC', 'ngày 22/12/2014 của Bộ Tài chính)']"
160,value,VPB,2025,VPB_financial_statements_2025_consolidated,VPB_financial_statements_2025_consolidated|2142,85,1,1,Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông của Ngân hàng (Triệu đồng),Năm 2025 | 23.989.930 | 7.933.923.601,23.989.930,23989930.0,Năm 2025 | Năm 2024,Năm 2025,1000000.0,as_printed,23989930000000.0,1,"['Ngày 31 tháng 12 năm 2025 Ngày 31 tháng 12 năm 2024 Số lượngCổ phiếu Mệnh giáTriệu đồng Số lượngCổ phiếu Mệnh giáTriệu đồng Số lượng cổ phiếu đăng kýphát hành 7.933.923.601 79.339.236 7.933.923.601 79.339.236 Số lượng cổ phiếu đã bán racông chúng 7.933.923.601 79.339.236 7.933.923.601 79.339.236 - Cổ phiếu phổ thông 7.933.923.601 79.339.236 7.933.923.601 79.339.236 Số lượng cổ phiếu đanglưu hành 7.933.923.601 79.339.236 7.933.923.601 79.339.236 - Cổ phiếu phổ thông 7.933.923.601 79.339.236 7.933.923.601 79.339.236', 'Mệnh giá của mỗi cổ phiếu của Ngân hàng là 10.000 VND.', '26. THU NHẬP TRÊN CÓ PHIÉU']"
171,cfo,NLG,2021,NLG_financial_statements_2021_consolidated,NLG_financial_statements_2021_consolidated|306,10,15,3,Lưu chuyển tiền thuần tử (sử dụng vào) hoạt động kinh doanh,Năm nay | 1.639.908.079.832,1.295.542.317.371,1295542317371.0,,Năm nay,1.0,as_printed,1295542317371.0,1,"['BÁO CÁO LƯU CHUYÊN TIÊN TẾ HỢP NHẤT', 'cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021', 'VND']"
172,value,FPT,2022,FPT_financial_statements_2022_consolidated,FPT_financial_statements_2022_consolidated|251,17,3,3,Tiền và các khoản tương đương tiền,Tại ngày 31 tháng 12 năm | 2022 VND | 30.937.711.076.141,6.440.177.174.322,6440177174322.0,Mã số | TÀI SẢN | Thuyết minh | Tại ngày 31 tháng 12 năm > Mã số | TÀI SẢN | Thuyết minh | 2022 VND | 2021 VND,Tại ngày 31 tháng 12 năm | 2022 VND,1.0,as_printed,6440177174322.0,1,"['CÔNG TY CỔ PHẦN FPT', 'Mẫu số B 01 – DN/HN', 'BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT']"
176,revenue,DXG,2024,DXG_financial_statements_2024_separate,DXG_financial_statements_2024_separate|341,7,1,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay | 89.503.575.774 | (37.659.032.779),89.503.575.774,89503575774.0,Mã số | CHỈ TIỀU | Thuyết minh | Năm nay | Năm trước,Năm nay,1.0,as_printed,89503575774.0,1,"['BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG', 'cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024', 'VND']"
181,net_profit,VRE,2020,VRE_financial_statements_2020_separate,VRE_financial_statements_2020_separate|66,1,3,2,Lợi nhuận sau thuế TNDN,Năm nay | 382.561 | 428.253,1.005.105,1005105.0,Mã số | Chỉ tiêu | Năm nay | Năm trước | Chênh lệch | %,Năm nay,1000000.0,as_printed,1005105000000.0,1,"['===== PAGE 2 =====', 'PHỤ LỤC 1- GIẢI TRÌNH BIẾN ĐỘNG KẾT QUẢ KINH DOANH RIÊNG SO VỚI NĂM TRƯỚC', 'Đơn vị tính: Triệu VND']"
182,value,CEO,2022,CEO_financial_statements_2022_consolidated,CEO_financial_statements_2022_consolidated|1685,53,1,1,Lợi nhuận kế toán sau thuế TNDN | -,Số trước điều chỉnhVND | 93.150.401.484 | -,93.150.401.484,93150401484.0,Số trước điều chỉnhVND | Số điều chỉnhVND | Số sau điều chỉnhVND,Số sau điều chỉnhVND,1.0,as_printed,93150401484.0,3,"['(*) Năm 2022, lợi nhuận dùng để phân bổ cho cổ đông sở hữu cổ phiếu phổ thông chưa được loại trừ số trích quỹ khen thưởng, phúc lợi do Công ty chưa có kế hoạch trích lập.', '(*) Công ty thực hiện điều chỉnh hồi tố chỉ tiêu Lãi cơ bản trên cổ phiếu của năm 2021 do ảnh hưởng của việc trích quỹ khen thưởng, phúc lợi và quỹ khen thưởng Ban điều hành theo Tờ trình số 31-4/2022/TTr/CEO-HĐQT ngày 7/4/2022 và Nghị quyết số 01/2022/NQ-ĐHĐCD ngày 29/4/2022 của Đại hội đồng cổ đông thường niên năm 2022 của Công ty CP Tập đoàn C.E.O.', 'Năm 2021']"
186,value,MSR,2023,MSR_financial_statements_2023_consolidated,MSR_financial_statements_2023_consolidated|1496,43,1,1,Vay và phát hành trái phiếu dài hạn,31/12/2023Nghìn VND | 10.850.162.726 | (1.995.283.917),10.850.162.726,10850162726.0,31/12/2023Nghìn VND | 1/1/2023Nghìn VND,31/12/2023Nghìn VND,1000.0,as_printed,10850162726000.0,1,"['- một phần tài sản có định hữu hình và vô hình và xây dựng cơ bản đồ dang của các công ty con (Thuyết minh 12, Thuyết minh 13 và Thuyết minh 15).', '(**) Đây là các khoản vay một ngân hàng trong nước là một công ty liên kết của công ty mẹ cấp cao nhất.', '(b) Vay và trái phiếu phát hành dài hạn']"
192,pretax_profit,MML,2017,MML_financial_statements_2017_separate,MML_financial_statements_2017_separate|226,3,8,3,(Lỗ)/lợi nhuận kế toán trước thuế (50 = 30 + 40),2017 VND | 16.505.629.140 | 1.403.641.740.107,(1.391.521.391.939),-1391521391939.0,,2017 VND,1.0,as_printed,-1391521391939.0,2,"['Mãu B 02 - DN', '(Ban hành theo Thông tư số 200/2014/TT-BTC', 'ngày 22 tháng 12 năm 2014 của Bộ Tài chính)']"
202,value,CEO,2025,CEO_financial_statements_2025_consolidated,CEO_financial_statements_2025_consolidated|266,3,9,3,2 Trả trước cho người bán ngắn hạn | V.4.,31/12/2025 | 4.575.498.519.600 | 780.987.360.496,68.897.389.031,68897389031.0,,31/12/2025,1.0,as_printed,68897389031.0,1,"['Mẫu số B01- DN/HN', 'BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT', 'Tại ngày 31 tháng 12 năm 2025']"
204,value,VNM,2020,VNM_financial_statements_2020_consolidated,VNM_financial_statements_2020_consolidated|1837,73,4,1,Số lượng bình quân gia quyền của cổ phiếu phổ thông cho năm kết thúc ngày 31 tháng 12,2020Số cổ phiếu | 1.741.377.694 | -,2.089.651.574,2089651574.0,2020Số cổ phiếu | 2019Số cổ phiếu(Điều chỉnh lại),2020Số cổ phiếu | -,1.0,as_printed,2089651574.0,1,"['(a) Lợi nhuận thuần thuộc về cổ đông phổ thông', '2020VND 2019VND Lợi nhuận thuần trong năm – thuộc về cổ đông phổ thông trước khi trích quỹ khen thưởng và phúc lợiTrích quỹ khen thưởng và phúc lợi 11.098.936.856.369(1.131.165.414.048) 10.581.175.671.989(1.042.687.225.216) Lợi nhuận thuần trong năm thuộc về cổ đông phổ thông sau khi trích quỹ khen thưởng và phúc lợi 9.967.771.442.321 9.538.488.446.773', '(b) Số cổ phiếu phổ thông bình quân gia quyền']"
208,value,STB,2019,STB_financial_statements_2019_consolidated,STB_financial_statements_2019_consolidated|1349,40,3,2,Dự phòng rủi ro cho vay khách hàng,Số cuối năm Triệu đồng | - | 3.316,3.971.059,3971059.0,Thuyết minh | Số cuối năm Triệu đồng | Số đầu năm Triệu đồng,Số cuối năm Triệu đồng | -,1000000.0,as_printed,3971059000000.0,1,"['B05/TCTD-HN', '11. DỰ PHÒNG RÙI RO TÍN DỤNG', 'Số dư dự phòng rủi ro tín dụng tại thời điểm cuối năm bao gồm:']"
211,pretax_profit,DLG,2022,DLG_financial_statements_2022_separate,DLG_financial_statements_2022_separate|1343,37,1,1,Tổng lợi nhuận kế toán trước thuế,Năm nay | (1.133.302.354.665),(1.133.302.354.665),-1133302354665.0,Năm nay | Năm trước,Năm nay,1.0,as_printed,-1133302354665.0,1,"['Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022', 'Thuế thu nhập doanh nghiệp (""TNDN"")', 'Thuế TNDN phải nộp trong năm được dự tính như sau:']"
223,value,MPC,2018,MPC_financial_statements_2018_consolidated,MPC_financial_statements_2018_consolidated|1291,60,1,1,Chi phí vận chuyển,2018VND | 356.673.384.147 | 229.886.391.482,356.673.384.147,356673384147.0,2018VND | 2017VND,2018VND,1.0,as_printed,356673384147.0,1,"['(Ban hành theo Thông tư số 202/2014/TT-BTC', 'ngày 22/12/2014 của Bộ Tài chính)', '31. Chi phí bán hàng']"
237,revenue,GAS,2016,GAS_financial_statements_2016_consolidated,GAS_financial_statements_2016_consolidated|1319,49,3,4,Tổng doanh thu thuần,Tổng cộng | VND | Doanh thu,59.076.193.175.661,59076193175661.0,VND > Doanh thu,Tổng cộng | VND | Doanh thu,1.0,as_printed,59076193175661.0,2,"['Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2015', 'Kinh doanh khí và các sản phẩm khí Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí Loại trừ nội bộ và điều chỉnh Tổng cộng VND VND VND VND Tài sản Tiền và các khoản tương đương tiền 17.653.720.587.559 94.611.817.187 - 17.748.332.404.746 Đầu tư tài chính ngắn hạn 6.099.320.000.000 - - 6.099.320.000.000 Các khoản phải thu ngắn hạn 9.626.281.047.333 396.466.145.339 (1.930.892.793.951) 8.091.854.398.721 Hàng tồn kho 1.049.212.187.678 162.985.654.634 - 1.212.197.842.312 Tài sản ngắn hạn khác 532.310.433.256 12.781.609.286 - 545.092.042.542 Các khoản phải thu dài hạn 142.184.585.075 - (1.409.856.435) 140.774.728.640 Tài sản cố định 12.905.800.061.158 1.964.318.450.377 - 14.870.118.511.535 Tài sản dở dang dài hạn 6.879.911.050.071 6.217.088.616 (287.959.736.449) 6.598.168.402.238 Đầu tư tài chính dài hạn 3.022.747.367.641 - (2.937.005.839.820) 85.741.527.821 Tài sản dài hạn khác 846.631.516.442 51.734.344.711 31.196.662.650 929.562.523.803 Lợi thể thường mại 18.496.554.237 - 374.947.350.693 393.443.904.930 Tổng tài sản hợp nhất 58.776.615.390.450 2.689.115.110.150 (4.751.124.213.312) 56.714.606.287.288 Nợ phải trả Nợ ngắn hạn 10.177.258.489.223 484.351.387.570 (1.659.193.351.413) 9.002.416.525.380 Nợ dài hạn 4.725.442.421.597 54.285.581.517 43.398.876.691 4.823.126.879.805 Tổng nợ phải trả hợp nhất 14.902.700.910.820 538.636.969.087 (1.615.794.474.722) 13.825.543.405.185', 'Kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016']"
251,value,PRT,2019,PRT_financial_statements_2019_separate,PRT_financial_statements_2019_separate|289,9,10,3,Tiền và tương đương tiền cuối năm,Năm 2019 | VND | III. LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,38.738.403.096,38738403096.0,,Năm 2019 | VND | III. LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,1.0,as_printed,38738403096.0,1,"['BÁO CÁO LƯU CHUYỄN TIỀN TỆ RIÊNG', 'Năm 2019', '(Theo phương pháp gián tiếp)']"
